Position,Mean,Variance 
13.4784,1.56526,0.310919
13.494,1.56441,0.311173
13.5096,1.56356,0.311439
13.5252,1.56271,0.31172
13.5408,1.56184,0.312006
13.5564,1.56097,0.312304
13.572,1.5601,0.312611
13.5876,1.55922,0.312927
13.6032,1.55833,0.31326
13.6188,1.55745,0.31358
13.6344,1.55656,0.313912
13.65,1.55566,0.314266
13.6656,1.55475,0.314627
13.6812,1.55383,0.315009
13.6968,1.55291,0.315399
13.7124,1.55198,0.315804
13.728,1.55104,0.316211
13.7436,1.5501,0.316637
13.7592,1.54916,0.317058
13.7748,1.54821,0.317501
13.7904,1.54724,0.317962
13.806,1.54628,0.318433
13.8216,1.54531,0.318907
13.8372,1.54433,0.319397
13.8528,1.54335,0.319892
13.8684,1.54236,0.320395
13.884,1.54138,0.320901
13.8996,1.54038,0.321417
13.9152,1.53938,0.321959
13.9308,1.53837,0.322509
13.9464,1.53735,0.323073
13.962,1.53633,0.323654
13.9776,1.53529,0.324249
13.9932,1.53425,0.324861
14.0088,1.53321,0.325482
14.0244,1.53216,0.326107
14.04,1.53111,0.326743
14.0556,1.53005,0.327393
14.0712,1.52898,0.328059
14.0868,1.52791,0.328722
14.1024,1.52684,0.3294
14.118,1.52576,0.330092
14.1336,1.52467,0.330799
14.1492,1.52358,0.331514
14.1648,1.52248,0.332246
14.1804,1.52138,0.332992
14.196,1.52027,0.333748
14.2116,1.51915,0.334514
14.2272,1.51803,0.335296
14.2428,1.5169,0.336094
14.2584,1.51576,0.336909
14.274,1.51461,0.337747
14.2896,1.51346,0.338602
14.3052,1.5123,0.339464
14.3208,1.51113,0.340343
14.3364,1.50996,0.341236
14.352,1.50879,0.342135
14.3676,1.5076,0.343057
14.3832,1.50641,0.343992
14.3988,1.50522,0.344939
14.4144,1.50402,0.345898
14.43,1.50281,0.346877
14.4456,1.50158,0.347893
14.4612,1.50034,0.34894
14.4768,1.4991,0.350009
14.4924,1.49784,0.351106
14.508,1.49657,0.35221
14.5236,1.4953,0.353333
14.5392,1.49403,0.354477
14.5548,1.49274,0.355638
