Position,Flux 
17.96,2.1978
17.98,2.2866
18,2.2518
18.02,2.193
18.04,2.1798
18.06,2.2644
18.08,2.2416
18.1,2.2746
18.12,2.211
18.14,2.25
18.16,2.169
18.18,2.1594
18.2,2.217
18.22,2.124
18.24,2.2422
18.26,2.1954
18.28,2.2704
18.3,2.25
18.32,2.1546
18.34,2.2128
18.36,2.2446
18.38,2.196
18.4,2.2896
18.42,2.2584
18.44,2.259
18.46,2.232
18.48,2.1828
18.5,2.2482
18.52,2.2272
18.54,2.2686
18.56,2.2236
18.58,2.19
18.6,2.3052
18.62,2.2434
18.64,2.2344
18.66,2.1846
18.68,2.2056
18.7,2.1954
18.72,2.2308
18.74,2.2428
18.76,2.178
18.78,2.2404
18.8,2.2206
18.82,2.2344
18.84,2.1822
18.86,2.2434
18.88,2.259
18.9,2.154
18.92,2.127
18.94,2.1792
18.96,2.1906
18.98,2.1168
19,2.1702
19.02,2.1576
19.04,2.178
19.06,2.187
19.08,2.2338
19.1,2.1678
19.12,2.1894
19.14,2.2848
19.16,2.1342
19.18,2.2812
19.2,2.1978
19.22,2.166
19.24,2.1822
19.26,2.1924
19.28,2.1222
19.3,2.067
19.32,2.16
19.34,2.1546
19.36,2.091
19.38,2.1516
19.4,2.0712
19.42,2.0838
19.44,2.0916
19.46,2.1162
19.48,2.103
19.5,2.064
19.52,2.1036
19.54,2.094
19.56,2.0034
19.58,2.0262
19.6,2.0646
19.62,2.0712
19.64,2.055
19.66,2.1054
19.68,2.094
19.7,2.0742
19.72,2.0172
19.74,1.9974
19.76,2.0082
19.78,2.007
19.8,1.9998
19.82,2.031
19.84,2.0262
19.86,2.0016
19.88,1.9998
19.9,2.0172
19.92,1.9572
19.94,1.9734
19.96,1.9536
19.98,1.9374
20,0
