Position,Tally,,,
17.06,3497,,,
17.08,3436,,,
17.1,3517,,,
17.12,3467,,,
17.14,3554,,,
17.16,3476,,,
17.18,3507,,,
17.2,3449,,,
17.22,3561,,,
17.24,3598,,,
17.26,3541,,,
17.28,3468,,,
17.3,3596,,,
17.32,3609,,,
17.34,3515,,,
17.36,3530,,,
17.38,3615,,,
17.4,3532,,,
17.42,3533,,,
17.44,3543,,,
17.46,3590,,,
17.48,3494,,,
17.5,3581,,,
17.52,3582,,,
17.54,3608,,,
17.56,3612,,,
17.58,3573,,,
17.6,3645,,,
17.62,3641,,,
17.64,3564,,,
17.66,3570,,,
17.68,3654,,,
17.7,3622,,,
17.72,3628,,,
17.74,3750,,,
17.76,3693,,,
17.78,3663,,,
17.8,3643,,,
17.82,3635,,,
17.84,3622,,,
17.86,3680,,,
17.88,3665,,,
17.9,3630,,,
17.92,3642,,,
17.94,3544,,,
17.96,3572,,,
17.98,3705,,,
18,3580,,,
18.02,3722,,,
18.04,3631,,,
18.06,3642,,,
18.08,3701,,,
18.1,3727,,,
18.12,3752,,,
18.14,3660,,,
18.16,3677,,,
18.18,3601,,,
18.2,3707,,,
18.22,3766,,,
18.24,3688,,,
18.26,3735,,,
18.28,3743,,,
18.3,3624,,,
18.32,3675,,,
18.34,3649,,,
18.36,3809,,,
18.38,3624,,,
18.4,3636,,,
18.42,3584,,,
18.44,3715,,,
18.46,3671,,,
18.48,3731,,,
18.5,3693,,,
18.52,3675,,,
18.54,3632,,,
18.56,3760,,,
18.58,3655,,,
18.6,3742,,,
18.62,3756,,,
18.64,3719,,,
18.66,3732,,,
18.68,3689,,,
18.7,3637,,,
18.72,3762,,,
18.74,3622,,,
18.76,3642,,,
18.78,3576,,,
18.8,3707,,,
18.82,3697,,,
18.84,3633,,,
18.86,3738,,,
18.88,3602,,,
18.9,3752,,,
18.92,3537,,,
18.94,3651,,,
18.96,3635,,,
18.98,3581,,,
19,3592,,,
19.02,3606,,,
19.04,3775,,,
19.06,3557,,,
19.08,3743,,,
19.1,3559,,,
19.12,3620,,,
19.14,3569,,,
19.16,3645,,,
19.18,3493,,,
19.2,3713,,,
19.22,3708,,,
19.24,3584,,,
19.26,3472,,,
19.28,3537,,,
19.3,3568,,,
19.32,3578,,,
19.34,3485,,,
19.36,3605,,,
19.38,3522,,,
19.4,3609,,,
19.42,3534,,,
19.44,3647,,,
19.46,3365,,,
19.48,3492,,,
19.5,3547,,,
19.52,3442,,,
19.54,3469,,,
19.56,3421,,,
19.58,3392,,,
19.6,3491,,,
19.62,3509,,,
19.64,3433,,,
19.66,3509,,,
19.68,3377,,,
19.7,3332,,,
19.72,3391,,,
19.74,3312,,,
19.76,3307,,,
19.78,3316,,,
19.8,3296,,,
19.82,3338,,,
19.84,3319,,,
19.86,3262,,,
19.88,3317,,,
19.9,3248,,,
19.92,3243,,,
19.94,3197,,,
19.96,3175,,,
19.98,3157,,,
20,0,,,
