K_eff is 1.00015
Position,Flux 
9.76374,4.74751
9.78035,4.7347
9.79695,4.72807
9.81356,4.71837
9.83016,4.69571
9.84677,4.67563
9.86337,4.64707
9.87998,4.64215
9.89658,4.63335
9.91319,4.61533
9.92979,4.5972
9.9464,2.59497
9.963,1.92642
9.97961,4.41267
9.99621,4.38199
10.0128,4.36854
10.0294,4.33158
10.046,4.30468
10.0626,4.2852
10.0792,4.26274
10.0958,4.24325
10.1124,4.21188
10.1291,4.1882
10.1457,4.16315
10.1623,4.13872
10.1789,4.12293
10.1955,4.0995
10.2121,4.08172
10.2287,4.05834
10.2453,4.04291
10.2619,4.02679
10.2785,3.99649
10.2951,3.98686
10.3117,3.95446
10.3283,3.93951
10.3449,3.91566
10.3615,3.8858
10.3781,3.86479
10.3947,3.85112
10.4113,3.82599
10.4279,3.80425
10.4445,3.78488
10.4612,3.76282
10.4778,3.74854
10.4944,3.73028
10.511,3.70689
10.5276,3.68489
10.5442,3.66437
10.5608,3.63673
10.5774,3.6163
10.594,3.60184
10.6106,3.57494
10.6272,3.55302
10.6438,3.53066
10.6604,3.51883
10.677,3.50563
10.6936,3.48268
10.7102,3.45631
10.7268,3.43292
10.7434,3.41166
10.76,3.38875
10.7766,3.38187
10.7933,3.36003
10.8099,3.33593
10.8265,3.31778
10.8431,3.30518
10.8597,3.28639
10.8763,3.26285
10.8929,3.24265
10.9095,3.22452
10.9261,3.19998
10.9427,3.18295
10.9593,3.16922
10.9759,3.14948
10.9925,3.14031
11.0091,3.1206
11.0257,3.10065
11.0423,3.07635
11.0589,3.04447
11.0755,3.02622
11.0921,3.00028
11.1087,2.9903
11.1254,2.97569
11.142,2.96024
11.1586,2.93823
11.1752,2.91769
11.1918,2.89179
11.2084,2.88403
11.225,2.86419
11.2416,2.85585
11.2582,2.83123
11.2748,2.8147
11.2914,2.79452
11.308,2.77018
11.3246,2.75115
11.3412,2.73672
11.3578,2.7187
11.3744,2.69735
11.391,2.67969
11.4076,2.66833
11.4242,2.6548
11.4408,2.63704
11.4575,2.61809
11.4741,2.59732
11.4907,2.58777
11.5073,2.56501
11.5239,2.54804
11.5405,2.53064
11.5571,2.51008
11.5737,2.49995
11.5903,2.49227
11.6069,2.4672
11.6235,2.44871
11.6401,2.43385
11.6567,2.42121
11.6733,2.41354
11.6899,2.39431
11.7065,2.37394
11.7231,2.36144
11.7397,2.34419
11.7563,2.32559
11.7729,2.30646
11.7896,2.28177
11.8062,2.26992
11.8228,2.25516
11.8394,2.23391
11.856,2.21826
11.8726,2.19665
11.8892,2.17543
11.9058,2.15551
11.9224,2.14029
11.939,2.12661
11.9556,2.10326
11.9722,2.08715
11.9888,2.07157
12.0054,2.05336
12.022,2.0424
12.0386,2.02216
12.0552,2.00622
12.0718,1.99285
12.0884,1.97788
12.105,1.95943
12.1217,1.9486
12.1383,1.92626
12.1549,1.92078
12.1715,1.8957
12.1881,1.87622
12.2047,1.85627
12.2213,1.84158
12.2379,1.82596
12.2545,1.80796
12.2711,1.79026
12.2877,1.77362
12.3043,1.75883
12.3209,1.74965
12.3375,1.73336
12.3541,1.71628
12.3707,1.69967
12.3873,1.68378
12.4039,1.65857
12.4205,1.65166
12.4371,1.64038
12.4538,1.62341
12.4704,1.60923
12.487,1.59244
12.5036,1.57133
12.5202,1.56362
12.5368,1.53964
12.5534,1.52505
12.57,1.50938
12.5866,1.49193
12.6032,1.47657
12.6198,1.46556
12.6364,1.44792
12.653,1.4301
12.6696,1.41803
12.6862,1.3965
12.7028,1.3814
12.7194,1.36499
12.736,1.35062
12.7526,1.33552
12.7692,1.31704
12.7859,1.30131
12.8025,1.28811
12.8191,1.27394
12.8357,1.24924
12.8523,1.23795
12.8689,1.21846
12.8855,1.20756
12.9021,1.19545
12.9187,1.17901
12.9353,1.16721
12.9519,1.14692
12.9685,1.13636
12.9851,1.12518
13.0017,1.10334
13.0183,1.08469
13.0349,1.06575
13.0515,1.05088
13.0681,1.03567
13.0847,1.01892
13.1013,1.00016
13.118,0.983078
13.1346,0.968109
13.1512,0.95374
13.1678,0.93739
13.1844,0.917347
13.201,0.900644
13.2176,0.885009
13.2342,0.867844
13.2508,0.844116
13.2674,0.613747
13.284,0.196288
13.3006,0.756433
13.3172,0.730944
13.3338,0.708255
13.3504,0.688933
13.367,0.667205
13.3836,0.645256
13.4002,0.622213
13.4168,0.608535
13.4334,0.592283
13.4501,0.574971
13.4667,0.559272
13.4833,0.542011
13.4999,0.527094
13.5165,0.514036
13.5331,0.498107
13.5497,0.484778
13.5663,0.469621
13.5829,0.456134
13.5995,0.447965
13.6161,0.437291
13.6327,0.424112
13.6493,0.408055
13.6659,0.395834
13.6825,0.386139
13.6991,0.374732
13.7157,0.363047
13.7323,0.354827
13.7489,0.346673
13.7655,0.337372
13.7822,0.330082
13.7988,0.322141
13.8154,0.311148
13.832,0.301626
13.8486,0.296373
13.8652,0.287442
13.8818,0.282083
13.8984,0.274581
13.915,0.264916
13.9316,0.257686
13.9482,0.253246
13.9648,0.245789
13.9814,0.238863
13.998,0.234739
14.0146,0.229453
14.0312,0.221388
14.0478,0.217336
14.0644,0.212747
14.081,0.204532
14.0976,0.20089
14.1143,0.197679
14.1309,0.191598
14.1475,0.18589
14.1641,0.181057
14.1807,0.177234
14.1973,0.171089
14.2139,0.166863
14.2305,0.162615
14.2471,0.15949
14.2637,0.154922
14.2803,0.15129
14.2969,0.146306
14.3135,0.140422
14.3301,0.137328
14.3467,0.135436
14.3633,0.132026
14.3799,0.128232
14.3965,0.124747
14.4131,0.120551
